No,施設名,住所,エリア,種類,情報ソース,POI_ID,詳細URL,取得元URL
1,下田高等学校（旧下田南高）,下田市蓮台寺152,静岡県 下田市,AED設置場所,ゼンリンデータコム株式会社（ZENRIN Maps API / いつもNAVI）,LOC_AED-2466,https://www.its-mo.com/poi/LOC_AED-2466/,https://www.its-mo.com/pois/22/219/?genrecode=ZZ00000000%3AZZ02500000
2,下田市岩下区,下田市岩下区,静岡県 下田市,AED設置場所,ゼンリンデータコム株式会社（ZENRIN Maps API / いつもNAVI）,LOC_AED-18028,https://www.its-mo.com/poi/LOC_AED-18028/,https://www.its-mo.com/pois/22/219/?genrecode=ZZ00000000%3AZZ02500000
3,特別養護老人ホーム　梓の里　（１Ｆ受付）,下田市加増野181-1,静岡県 下田市,AED設置場所,ゼンリンデータコム株式会社（ZENRIN Maps API / いつもNAVI）,LOC_AED-25138,https://www.its-mo.com/poi/LOC_AED-25138/,https://www.its-mo.com/pois/22/219/?genrecode=ZZ00000000%3AZZ02500000
4,ホテルジャパン下田,下田市吉佐美2131,静岡県 下田市,AED設置場所,ゼンリンデータコム株式会社（ZENRIN Maps API / いつもNAVI）,LOC_AED-7345,https://www.its-mo.com/poi/LOC_AED-7345/,https://www.its-mo.com/pois/22/219/?genrecode=ZZ00000000%3AZZ02500000
5,三島信用金庫　下田中央支店,下田市一丁目19-1,静岡県 下田市,AED設置場所,ゼンリンデータコム株式会社（ZENRIN Maps API / いつもNAVI）,LOC_AED-17811,https://www.its-mo.com/poi/LOC_AED-17811/,https://www.its-mo.com/pois/22/219/?genrecode=ZZ00000000%3AZZ02500000
6,下田セントラルホテル,下田市相玉133-1,静岡県 下田市,AED設置場所,ゼンリンデータコム株式会社（ZENRIN Maps API / いつもNAVI）,LOC_AED-24176,https://www.its-mo.com/poi/LOC_AED-24176/,https://www.its-mo.com/pois/22/219/?genrecode=ZZ00000000%3AZZ02500000
7,菊池歯科医院,下田市2丁目12-26,静岡県 下田市,AED設置場所,ゼンリンデータコム株式会社（ZENRIN Maps API / いつもNAVI）,LOC_AED-35923,https://www.its-mo.com/poi/LOC_AED-35923/,https://www.its-mo.com/pois/22/219/?genrecode=ZZ00000000%3AZZ02500000
8,静岡地方法務局　下田支局,下田市西本郷2-5-33 下田地方合同庁舎2階,静岡県 下田市,AED設置場所,ゼンリンデータコム株式会社（ZENRIN Maps API / いつもNAVI）,LOC_AED-40182,https://www.its-mo.com/poi/LOC_AED-40182/,https://www.its-mo.com/pois/22/219/?genrecode=ZZ00000000%3AZZ02500000
9,日本大学下田海洋研究センター,,静岡県 下田市,AED設置場所,ゼンリンデータコム株式会社（ZENRIN Maps API / いつもNAVI）,LOC_AED-107739,https://www.its-mo.com/poi/LOC_AED-107739/,https://www.its-mo.com/pois/22/219/?genrecode=ZZ00000000%3AZZ02500000
10,日本大学下田海洋研究センター,,静岡県 下田市,AED設置場所,ゼンリンデータコム株式会社（ZENRIN Maps API / いつもNAVI）,LOC_AED-107740,https://www.its-mo.com/poi/LOC_AED-107740/,https://www.its-mo.com/pois/22/219/?genrecode=ZZ00000000%3AZZ02500000
11,下田公共職業安定所,静岡県下田市4-5-26,静岡県 下田市,AED設置場所,ゼンリンデータコム株式会社（ZENRIN Maps API / いつもNAVI）,LOC_AED-80187,https://www.its-mo.com/poi/LOC_AED-80187/,https://www.its-mo.com/pois/22/219/?genrecode=ZZ00000000%3AZZ02500000
12,伊豆太陽農業協同組合 柿崎給油所,下田市柿崎72-1,静岡県 下田市,AED設置場所,ゼンリンデータコム株式会社（ZENRIN Maps API / いつもNAVI）,LOC_AED-80189,https://www.its-mo.com/poi/LOC_AED-80189/,https://www.its-mo.com/pois/22/219/?genrecode=ZZ00000000%3AZZ02500000
13,伊豆太陽農業協同組合 中給油所,下田市東中8-1,静岡県 下田市,AED設置場所,ゼンリンデータコム株式会社（ZENRIN Maps API / いつもNAVI）,LOC_AED-80190,https://www.its-mo.com/poi/LOC_AED-80190/,https://www.its-mo.com/pois/22/219/?genrecode=ZZ00000000%3AZZ02500000
14,ＪＡふじ伊豆 メモリアル吉佐美,下田市吉佐美1077-1,静岡県 下田市,AED設置場所,ゼンリンデータコム株式会社（ZENRIN Maps API / いつもNAVI）,LOC_AED-80191,https://www.its-mo.com/poi/LOC_AED-80191/,https://www.its-mo.com/pois/22/219/?genrecode=ZZ00000000%3AZZ02500000
15,伊豆太陽農業協同組合 Ａコープ稲生沢店,下田市立野136,静岡県 下田市,AED設置場所,ゼンリンデータコム株式会社（ZENRIN Maps API / いつもNAVI）,LOC_AED-80192,https://www.its-mo.com/poi/LOC_AED-80192/,https://www.its-mo.com/pois/22/219/?genrecode=ZZ00000000%3AZZ02500000
16,下田市立稲梓中学校,下田市立稲梓中学校,静岡県 下田市,AED設置場所,ゼンリンデータコム株式会社（ZENRIN Maps API / いつもNAVI）,LOC_AED-80195,https://www.its-mo.com/poi/LOC_AED-80195/,https://www.its-mo.com/pois/22/219/?genrecode=ZZ00000000%3AZZ02500000
17,下田市立稲生沢中学校,下田市立稲生沢中学校,静岡県 下田市,AED設置場所,ゼンリンデータコム株式会社（ZENRIN Maps API / いつもNAVI）,LOC_AED-80196,https://www.its-mo.com/poi/LOC_AED-80196/,https://www.its-mo.com/pois/22/219/?genrecode=ZZ00000000%3AZZ02500000
18,下田市立下田東中学校,下田市立下田東中学校,静岡県 下田市,AED設置場所,ゼンリンデータコム株式会社（ZENRIN Maps API / いつもNAVI）,LOC_AED-80197,https://www.its-mo.com/poi/LOC_AED-80197/,https://www.its-mo.com/pois/22/219/?genrecode=ZZ00000000%3AZZ02500000
19,下田自動車学校,下田市 河内741-2,静岡県 下田市,AED設置場所,ゼンリンデータコム株式会社（ZENRIN Maps API / いつもNAVI）,LOC_AED-80180,https://www.its-mo.com/poi/LOC_AED-80180/,https://www.its-mo.com/pois/22/219/?genrecode=ZZ00000000%3AZZ02500000
20,下田海中水族館,下田市三丁目22番31号,静岡県 下田市,AED設置場所,ゼンリンデータコム株式会社（ZENRIN Maps API / いつもNAVI）,LOC_AED-80181,https://www.its-mo.com/poi/LOC_AED-80181/,https://www.its-mo.com/pois/22/219/?genrecode=ZZ00000000%3AZZ02500000
21,下田プリンスホテル,下田市白浜1547-1,静岡県 下田市,AED設置場所,ゼンリンデータコム株式会社（ZENRIN Maps API / いつもNAVI）,LOC_AED-80182,https://www.its-mo.com/poi/LOC_AED-80182/,https://www.its-mo.com/pois/22/219/?genrecode=ZZ00000000%3AZZ02500000
22,下田とうきゅう,下田市東本郷1-2-1,静岡県 下田市,AED設置場所,ゼンリンデータコム株式会社（ZENRIN Maps API / いつもNAVI）,LOC_AED-80185,https://www.its-mo.com/poi/LOC_AED-80185/,https://www.its-mo.com/pois/22/219/?genrecode=ZZ00000000%3AZZ02500000
23,株式会社　伊豆下田フィッシング,下田市三丁目6-6,静岡県 下田市,AED設置場所,ゼンリンデータコム株式会社（ZENRIN Maps API / いつもNAVI）,LOC_AED-80186,https://www.its-mo.com/poi/LOC_AED-80186/,https://www.its-mo.com/pois/22/219/?genrecode=ZZ00000000%3AZZ02500000
24,下田東急ホテル,静岡県下田市5-12-1,静岡県 下田市,AED設置場所,ゼンリンデータコム株式会社（ZENRIN Maps API / いつもNAVI）,LOC_AED-134312,https://www.its-mo.com/poi/LOC_AED-134312/,https://www.its-mo.com/pois/22/219/?genrecode=ZZ00000000%3AZZ02500000
25,しらはまクリニック,下田市白浜字神明1528-2,静岡県 下田市,AED設置場所,ゼンリンデータコム株式会社（ZENRIN Maps API / いつもNAVI）,LOC_AED-194637,https://www.its-mo.com/poi/LOC_AED-194637/,https://www.its-mo.com/pois/22/219/?genrecode=ZZ00000000%3AZZ02500000
26,下田クラブ,下田市吉佐美348,静岡県 下田市,AED設置場所,ゼンリンデータコム株式会社（ZENRIN Maps API / いつもNAVI）,LOC_AED-171607,https://www.its-mo.com/poi/LOC_AED-171607/,https://www.its-mo.com/pois/22/219/?genrecode=ZZ00000000%3AZZ02500000
27,静岡県下田財務事務所,下田市中531-1,静岡県 下田市,AED設置場所,ゼンリンデータコム株式会社（ZENRIN Maps API / いつもNAVI）,LOC_AED-171608,https://www.its-mo.com/poi/LOC_AED-171608/,https://www.its-mo.com/pois/22/219/?genrecode=ZZ00000000%3AZZ02500000
28,株式会社 藤興産,下田市柿崎41-20,静岡県 下田市,AED設置場所,ゼンリンデータコム株式会社（ZENRIN Maps API / いつもNAVI）,LOC_AED-171609,https://www.its-mo.com/poi/LOC_AED-171609/,https://www.its-mo.com/pois/22/219/?genrecode=ZZ00000000%3AZZ02500000
29,須崎漁民会館,下田市須崎,静岡県 下田市,AED設置場所,ゼンリンデータコム株式会社（ZENRIN Maps API / いつもNAVI）,LOC_AED-173530,https://www.its-mo.com/poi/LOC_AED-173530/,https://www.its-mo.com/pois/22/219/?genrecode=ZZ00000000%3AZZ02500000
30,河内公会堂,下田市河内,静岡県 下田市,AED設置場所,ゼンリンデータコム株式会社（ZENRIN Maps API / いつもNAVI）,LOC_AED-173532,https://www.its-mo.com/poi/LOC_AED-173532/,https://www.its-mo.com/pois/22/219/?genrecode=ZZ00000000%3AZZ02500000
