id,no,name,lat,lng,address,phone,hazards,capacity,notes,hidden
ep-1000000001,1,下田中学校（グラウンド）,34.6811274,138.9302639,静岡県下田市敷根765-1,0558-22-3443,"洪水,土砂,高潮,地震,津波,火災,内水,火山",10460人 （1㎡あたり1人）,,
ep-1000000002,2,旧下田幼稚園（グラウンド）,34.67700524,138.9414226,静岡県下田市１丁目17-2,0558-22-0363,"洪水,土砂,高潮,地震,津波,火災,内水,火山",2140人 （1㎡あたり1人）,,
ep-1000000003,3,下田小学校（グラウンド）,34.67212102,138.9398252,静岡県下田市５丁目3-1,0558-22-0055,"洪水,高潮,火災,内水,火山",3660人 （1㎡あたり1人）,,
ep-1000000004,4,稲生沢小学校（グラウンド）,34.69680411,138.9375455,静岡県下田市立野６-１,0558-22-0424,"洪水,高潮,地震,津波,火災,内水,火山",4040人 （1㎡あたり1人）,,
ep-1000000005,5,稲生沢公民館,34.6960257,138.938618,静岡県下田市立野191,0558-22-0519,"高潮,地震,津波,火災,内水,火山",120人 （3.3㎡あたり1人）,,
ep-1000000006,6,県立下田高校（スクールコート）,34.69786607,138.9347365,静岡県下田市蓮台寺152,0558-22-3164,"洪水,高潮,地震,津波,火災,内水,火山",1600人 （1㎡あたり1人）,,
ep-1000000007,7,上大沢集会所,34.69685387,138.9131474,静岡県下田市大沢127-1,,"洪水,土砂,高潮,地震,津波,火災,内水,火山",30人 （3.3㎡あたり1人）,,
ep-1000000008,8,下大沢共同集荷所,34.70305479,138.9098965,静岡県下田市大沢625,,"洪水,高潮,地震,津波,火災,内水,火山",20人 （3.3㎡あたり1人）,,
ep-1000000009,9,稲梓小学校（グラウンド）,34.72269707,138.9261331,静岡県下田市椎原224,0558-28-0004,"洪水,土砂,高潮,地震,津波,火災,内水,火山",3520人 （1㎡あたり1人）,,
ep-1000000010,10,旧稲梓中学校（グラウンド）,34.72377198,138.9317079,静岡県下田市箕作350,0558-28-0011,"洪水,高潮,地震,津波,火災,内水,火山",7400人 （1㎡あたり1人）,,
ep-1000000011,11,基幹集落センター,34.72396865,138.9278337,静岡県下田市椎原290-1,0558-28-1828,"洪水,土砂,高潮,地震,津波,火災,内水,火山",150人 （3.3㎡あたり1人）,,
ep-1000000012,12,落合集会所,34.72059299,138.9498321,静岡県下田市落合276,,"洪水,高潮,地震,津波,火災,内水,火山",20人 （3.3㎡あたり1人）,,
ep-1000000013,13,須原区集会所,34.74055173,138.9315404,静岡県下田市須原1325-4,,"洪水,土砂,高潮,地震,津波,火災,内水,火山",30人 （3.3㎡あたり1人）,,
ep-1000000014,14,あずさ山の家,34.74119767,138.9315515,静岡県下田市須原1322,0558-22-3914,"洪水,高潮,地震,津波,火災,内水,火山",260人 （3.3㎡あたり1人）,,
ep-1000000015,15,八木山集会所,34.75665159,138.9370011,静岡県下田市須原829,,"洪水,高潮,地震,津波,火災,内水,火山",20人 （3.3㎡あたり1人）,,
ep-1000000016,16,相玉公会堂,34.71839615,138.9171794,静岡県下田市相玉282-3,0558-28-0955,"洪水,高潮,地震,津波,火災,内水,火山",20人 （3.3㎡あたり1人）,,
ep-1000000017,17,北湯ヶ野区集会所,34.72564223,138.9132864,静岡県下田市北湯ヶ野332,,"洪水,高潮,地震,津波,火災,内水,火山",30人 （3.3㎡あたり1人）,,
ep-1000000018,18,朝日小学校（グラウンド）,34.660686,138.9197613,静岡県下田市吉佐美544,0558-22-0702,"洪水,土砂,高潮,火災,内水,火山",4860人 （1㎡あたり1人）,,
ep-1000000019,19,青少年海の家,34.64114217,138.9112377,静岡県下田市田牛217,0558-22-7753,"洪水,高潮,火災,内水,火山",150人 （3.3㎡あたり1人）,,
ep-1000000020,20,大賀茂小学校（グラウンド）,34.67641115,138.9045291,静岡県下田市大賀茂1429,0558-22-0704,"洪水,土砂,高潮,地震,津波,火災,内水,火山",1660人 （1㎡あたり1人）,,
ep-1000000021,21,朝日公民館,34.66333632,138.9176231,静岡県下田市吉佐美883-1,0558-22-0216,"洪水,高潮,火災,内水,火山",120人 （3.3㎡あたり1人）,,
