id,no,name,lat,lng,address,phone,notes,hidden
es-01-01,1,下田中学校（体育館）,34.6811274,138.9302639,静岡県下田市敷根765-1,0558-22-3443,,
es-01-02,1,下田中学校（武道館）,34.6811274,138.9302639,静岡県下田市敷根765-1,0558-22-3443,,
es-02-03,2,旧下田幼稚園,34.67675158,138.9409801,静岡県下田市１丁目17-2,0558-22-0363,乳幼児その他対象,
es-03-04,3,下田小学校（体育館）,34.67212102,138.9398252,静岡県下田市５丁目3-1,0558-22-0055,津波災害を除く。,
es-04-05,4,稲生沢小学校（体育館）,34.69680411,138.9375455,静岡県下田市立野6-1,0558-22-0424,,
es-05-06,5,稲生沢公民館,34.6960257,138.938618,静岡県下田市立野191,0558-22-0519,洪水災害を除く。土砂災害を除く。,
es-06-07,6,県立下田高校（体育館）,34.69786607,138.9347365,静岡県下田市蓮台寺152,0558-22-3164,土砂災害を除く。,
es-07-08,7,上大沢集会所,34.69685387,138.9131474,静岡県下田市大沢127-1,,土砂災害を除く。,
es-08-09,8,下大沢集荷所,34.70305479,138.9098965,静岡県下田市大沢625,,土砂災害を除く。,
es-09-10,9,稲梓小学校（体育館）,34.72269707,138.9261331,静岡県下田市椎原224,0558-28-0004,,
es-10-11,10,旧稲梓中学校（体育館）,34.72377198,138.9317079,静岡県下田市箕作350,0558-28-0011,土砂災害を除く。,
es-11-12,11,基幹集落センター,34.72396865,138.9278337,静岡県下田市椎原290-1,0558-28-1199,,
es-12-13,12,落合集会所,34.72059299,138.9498321,静岡県下田市落合276,,土砂災害を除く。,
es-13-14,13,須原区集会所,34.74055173,138.9315404,静岡県下田市須原1325-4,,土砂災害を除く。,
es-14-15,14,あずさ山の家,34.74119767,138.9315515,静岡県下田市須原1322,0558-22-3914,土砂災害を除く。,
es-15-16,15,八木山集会所,34.75665159,138.9370011,静岡県下田市須原829,,土砂災害を除く。,
es-16-17,16,相玉公会堂,34.71839615,138.9171794,静岡県下田市相玉282-3,0558-28-0955,土砂災害を除く。,
es-17-18,17,北湯ヶ野区集会所,34.72564223,138.9132864,静岡県下田市北湯ケ野332,,土砂災害を除く。,
es-18-19,18,朝日小学校（体育館）,34.660686,138.9197613,静岡県下田市吉佐美544,0558-22-0702,津波災害を除く。,
es-19-20,19,青少年海の家,34.64114217,138.9112377,静岡県下田市田牛217,0558-22-7753,津波災害を除く。土砂災害を除く。,
es-20-21,20,大賀茂小学校（体育館）,34.67641115,138.9045291,静岡県下田市大賀茂1429,0558-22-0704,,
es-21-22,21,朝日公民館,34.66333632,138.9176231,静岡県下田市吉佐美883-1,0558-22-0216,津波災害を除く。土砂災害を除く。,
es-22-23,22,浜崎小学校（体育館）,34.66834207,138.9638961,静岡県下田市須崎1785-1,0558-22-0441,,
es-23-24,23,旧下田東中学校（体育館）,34.67562428,138.9651252,静岡県下田市柿崎1106,0558-22-0868,,
es-24-25,24,荒川区下田臨海学園,34.67690128,138.9628905,静岡県下田市柿崎17-27,0558-22-0202,,
es-25-26,25,白浜小学校（体育館）,34.69985871,138.9714322,静岡県下田市白浜1324-1,0558-22-0860,,
es-26-27,26,板戸区集会所,34.70705594,138.9761646,静岡県下田市白浜532-1,,土砂災害を除く。,
es-27-28,27,下田市民文化会館,34.67558864,138.941921,静岡県下田市４丁目1-2,0558-23-5151,津波災害を除く。,
